date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	notes
2024-01-04	0		BUY	50	518.4	0.09608				50
2024-01-05	48.46		BUY	50	534.7	0.09348				100
2024-01-06	94.88		BUY	50	553.3	0.0901				150
2024-01-07	146.54		BUY	50	547	0.09122				200
2024-01-08	194.56		BUY	50	551.9	0.09035				250
2024-01-09	244.18		BUY	50	553.2	0.09026				300
2024-01-10	312.26		BUY	50	521.5	0.09583				350
2024-01-11	359.29		BUY	50	526.1	0.09505				400
2024-01-12	405.38		BUY	50	530.7	0.09414				450
2024-01-13	435.46		BUY	50	554	0.09003				500
2024-01-14	491.1		BUY	50	547.7	0.0911				550
2024-01-15	528.29		BUY	50	561	0.08896				600
2024-01-16	581.71		BUY	50	557.9	0.0895				650
2024-01-17	613.15		BUY	50	574.7	0.08688				700
2024-01-18	633.92		BUY	50	601.2	0.08306				750
2024-01-19	669.94		BUY	50	613.1	0.08137				800
2024-01-20	746.19		BUY	50	595.3	0.08435				850
2024-01-21	797.35		BUY	50	590.6	0.08445				900
2024-01-22	796.77		BUY	50	628.3	0.07942				950
2024-01-23	811.8		BUY	50	655.3	0.07615				1000
2024-01-24	905.95		BUY	50	623.2	0.08006				1050
2024-01-25	944.38		BUY	50	631.1	0.0791				1100
2024-01-26	1053.51		BUY	50	595.7	0.08381				1150
2024-01-27	1082.24		BUY	50	606.9	0.0822				1200
2024-01-28	1126.2		BUY	50	610.2	0.08177				1250
2024-01-29	1209.18		BUY	50	593.7	0.08407				1300
2024-01-30	1276.46		BUY	50	585.7	0.08523				1350
2024-01-31	1281.72		BUY	50	606.1	0.08236				1400
2024-02-01	1321.61		BUY	50	610.6	0.08174				1450
2024-02-02	1412.13		BUY	50	593.1	0.08416				1500
2024-02-03	1435.12		BUY	50	604	0.08261				1550
2024-02-04	1465.42		BUY	50	612.2	0.08152				1600
2024-02-05	1537.82		BUY	50	602.8	0.08273				1650
2024-02-06	1588.65		BUY	50	602.5	0.08278				1700
2024-02-07	1647.23		BUY	50	599.6	0.08322				1750
2024-02-08	1768.91		BUY	50	574	0.08674				1800
2024-02-09	1902.78		BUY	50	549.5	0.09075				1850
2024-02-10	1907.03		BUY	50	563.1	0.08863				1900
2024-02-11	1957.38		BUY	50	563.2	0.08865				1950
2024-02-12	2008.9		BUY	50	556.1	0.08872				2000
2024-02-13	2107.42		SELL	50	573.9	0.09084				2000
2024-02-14	2109.81		SELL	50	553.7	0.09325				2000
2024-02-15	2040.52		BUY	50	540.6	0.09245				2050
2024-02-16	2059.29		BUY	50	548.5	0.09107				2100
2024-02-17	2066.17		BUY	50	559.7	0.08921				2150
2024-02-18	2163.3		BUY	50	547.8	0.0912				2200
2024-02-19	2241.17		BUY	50	540.5	0.09235				2250
2024-02-20	2320.11		BUY	50	533	0.09352				2300
2024-02-21	2292.66		BUY	50	551.8	0.09047				2350
2024-02-22	2409.65		BUY	50	536.8	0.09306				2400
